2026-07-20 17:30:00.001 [INFO] [System] COWdeploy Edge Benchmarking Suite (Precision: W8A8)
2026-07-20 17:30:00.015 [INFO] [System] Hardware: Qualcomm Dragonwing RB3 Gen2 (QCM6490)
2026-07-20 17:30:00.030 [INFO] [Video] Resolution: 1920x1080 | Codec: H264 | FPS: 30.0 | Frames: 1800 (60s)
2026-07-20 17:30:00.055 [INFO] [Pipeline] Configuration: 
    - Detection Backend: QNN (Hexagon DSP) - yolov8n-seg_w8a8.bin
    - Feature Extractor Backend: QNN (Hexagon DSP) - dinov2_vits14_w8a8.bin
2026-07-20 17:30:00.110 [INFO] [Video] Initializing Adreno GPU V4L2 Hardware Decoder...
2026-07-20 17:30:00.120 [INFO] [QNN] Loading libQnnHtp.so (Hexagon Tensor Processor)...
2026-07-20 17:30:00.165 [INFO] [QNN] Loading context binary yolov8n-seg_w8a8.bin to CDSP...
2026-07-20 17:30:00.175 [INFO] [QNN] Model loaded. Optimized for W8A8.
2026-07-20 17:30:00.180 [INFO] [Pipeline] Starting main video processing loop...
2026-07-20 17:30:00.203 [DEBUG] [Frame 0000] Decode(GPU): 10.3ms | Preprocess: 1.2ms | YOLO(w8a8): 11.5ms | DINOv2: Skipped | Total: 23.8ms
2026-07-20 17:30:00.229 [DEBUG] [Frame 0001] Decode(GPU): 10.8ms | Preprocess: 1.0ms | YOLO(w8a8): 12.8ms | DINOv2: Skipped | Total: 25.7ms
2026-07-20 17:30:00.256 [DEBUG] [Frame 0002] Decode(GPU): 11.5ms | Preprocess: 1.4ms | YOLO(w8a8): 13.5ms | DINOv2: Skipped | Total: 27.3ms
2026-07-20 17:30:00.283 [DEBUG] [Frame 0003] Decode(GPU): 12.0ms | Preprocess: 1.3ms | YOLO(w8a8): 12.1ms | DINOv2: Skipped | Total: 26.2ms
2026-07-20 17:30:00.307 [DEBUG] [Frame 0004] Decode(GPU): 11.1ms | Preprocess: 1.2ms | YOLO(w8a8): 11.6ms | DINOv2: Skipped | Total: 24.5ms
2026-07-20 17:30:00.336 [DEBUG] [Frame 0005] Decode(GPU): 12.7ms | Preprocess: 1.4ms | YOLO(w8a8): 13.7ms | DINOv2: Skipped | Total: 28.6ms
2026-07-20 17:30:00.360 [DEBUG] [Frame 0006] Decode(GPU): 10.6ms | Preprocess: 1.4ms | YOLO(w8a8): 12.0ms | DINOv2: Skipped | Total: 24.6ms
2026-07-20 17:30:00.385 [DEBUG] [Frame 0007] Decode(GPU): 10.8ms | Preprocess: 1.4ms | YOLO(w8a8): 12.3ms | DINOv2: Skipped | Total: 25.2ms
2026-07-20 17:30:00.411 [DEBUG] [Frame 0008] Decode(GPU): 10.8ms | Preprocess: 1.3ms | YOLO(w8a8): 13.3ms | DINOv2: Skipped | Total: 26.1ms
2026-07-20 17:30:00.438 [DEBUG] [Frame 0009] Decode(GPU): 11.7ms | Preprocess: 1.4ms | YOLO(w8a8): 13.3ms | DINOv2: Skipped | Total: 27.0ms
2026-07-20 17:30:00.464 [DEBUG] [Frame 0010] Decode(GPU): 11.7ms | Preprocess: 1.4ms | YOLO(w8a8): 12.3ms | DINOv2: Skipped | Total: 26.0ms
