2026-07-20 18:00:00.001 [INFO] [System] COWdeploy Ultimate Benchmark (Profile: TFLITE_NPU_W8A16)
2026-07-20 18:00:00.015 [INFO] [System] Hardware: Qualcomm Dragonwing RB3 Gen2 (QCM6490)
2026-07-20 18:00:00.018 [INFO] [System] Language/Runtime: C++
2026-07-20 18:00:00.033 [INFO] [Video] Resolution: 1920x1080 | Codec: H264 | FPS: 30.0 | Frames: 1800 (60s)
2026-07-20 18:00:00.058 [INFO] [Pipeline] Configuration: 
    - Detection Backend: TFLite (Hexagon DSP Delegate) [W8A16]
    - Feature Extractor Backend: TFLite (Hexagon DSP Delegate) [W8A16]
2026-07-20 18:00:00.113 [INFO] [Video] Initializing Adreno GPU V4L2 Hardware Decoder...
2026-07-20 18:00:00.158 [INFO] [Accelerator] Loading Hexagon DSP drivers and delegates...
2026-07-20 18:00:00.478 [INFO] [Accelerator] Context loaded successfully to CDSP.
2026-07-20 18:00:00.483 [INFO] [Pipeline] Starting main video processing loop...
2026-07-20 18:00:00.510 [DEBUG] [Frame 0000] Decode: 11.0ms | Pre: 1.4ms | YOLO: 14.2ms | DINOv2: Skipped | Overhead: 0.9ms | Total: 27.5ms
2026-07-20 18:00:00.537 [DEBUG] [Frame 0001] Decode: 10.3ms | Pre: 1.5ms | YOLO: 14.1ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 26.7ms
2026-07-20 18:00:00.563 [DEBUG] [Frame 0002] Decode: 12.3ms | Pre: 1.5ms | YOLO: 12.3ms | DINOv2: Skipped | Overhead: 0.6ms | Total: 26.7ms
2026-07-20 18:00:00.591 [DEBUG] [Frame 0003] Decode: 12.1ms | Pre: 1.3ms | YOLO: 13.3ms | DINOv2: Skipped | Overhead: 0.7ms | Total: 27.4ms
2026-07-20 18:00:00.619 [DEBUG] [Frame 0004] Decode: 12.3ms | Pre: 1.0ms | YOLO: 13.7ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 27.8ms
2026-07-20 18:00:00.645 [DEBUG] [Frame 0005] Decode: 11.1ms | Pre: 1.5ms | YOLO: 13.8ms | DINOv2: Skipped | Overhead: 0.6ms | Total: 26.9ms
2026-07-20 18:00:00.672 [DEBUG] [Frame 0006] Decode: 12.4ms | Pre: 1.1ms | YOLO: 12.2ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 26.6ms
2026-07-20 18:00:00.698 [DEBUG] [Frame 0007] Decode: 11.3ms | Pre: 1.4ms | YOLO: 12.9ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 26.4ms
2026-07-20 18:00:00.724 [DEBUG] [Frame 0008] Decode: 10.3ms | Pre: 1.2ms | YOLO: 13.8ms | DINOv2: Skipped | Overhead: 0.6ms | Total: 25.8ms
2026-07-20 18:00:00.750 [DEBUG] [Frame 0009] Decode: 10.2ms | Pre: 1.2ms | YOLO: 13.4ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 25.6ms
2026-07-20 18:00:00.777 [DEBUG] [Frame 0010] Decode: 11.3ms | Pre: 1.0ms | YOLO: 13.7ms | DINOv2: Skipped | Overhead: 0.8ms | Total: 26.8ms
